,tt,type,ru,,
,шифрны ачу ,noun,расшифровка,,
,франция ,nonetype,франція,,
,афиннар ,nonetype,афины,,
,афиннар ,proper feminine,Афины,,
,төбәү җайланмасы ,nonetype,указывающее устройство,,
,һәммә ,determiner,tut,,
,мөрәҗәгать ,noun,обращение,,
,мөрәҗәгать ,noun,вариант,,
,мөрәҗәгать ,nonetype,временное хранилище,,
,тәһран ,nonetype,тегеран,,
,сез ,nonetype,voi,,
,этәргә ,nonetype,pingu,,
,яссылык ,noun feminine,плоскость,,
,яссылык ,noun feminine,плоскость,,
,бөекбритания ,nonetype,великобритания,,
,бөекбритания ,proper feminine,Великобритания,,
,читтәге ,nonetype,удаленный,,
,Çikläwek Watuçı ,proper masculine,Щелкунчик,,
,веб-таләп ,nonetype,веб-запрос,,
,класс модуле ,nonetype,модуль класса,,
,Mzımta ,nonetype,Мзымта,,
,cır ,noun feminine,песенка,,
,cır ,noun feminine,песнь,,
,cır ,noun feminine,песня,,
,Литва ,nonetype,Литовский,,
,Литва ,adjective masculine,литовский,,
,Литва ,nonetype,литва,,
,янарга ,nonetype,årdu,,
,каһирә ,nonetype,каир,,
,сөйрәп күчерү ,nonetype,перетаскивание,,
,программа-календарь ,nonetype,программа-календарь,,
,Хартум ,proper masculine,Хартум,,
,Хартум ,nonetype,хартум,,
,океанлык ,nonetype,океания,,
,кос ,noun feminine,сосна,,
,Уку режимы ,nonetype,Просмотр текста,,
,Уку режимы ,nonetype,режим чтения,,
,Yura ,nonetype,Ханты-Мансийский автономный округ,,
,Yura ,nonetype,Югра,,
,төньяк ,noun masculine,север,,
,төньяк ,adjective,северный,,
,төньяк ,noun masculine,норд,,
,төньяк ,noun,север,,
,бикле ,particle,заблокированный,,
,бикле ,verb,запереть,,
,акча янчыгы ,noun masculine,бумажник,,
,дус ,noun masculine,друг,,
,дус ,noun masculine,приятель,,
,дус ,noun feminine,подруга,,
,дус ,noun feminine,приятельница,,
,дус ,noun masculine,товарищ,,
,ул ,nonetype,ie,,
,ул ,nonetype,ţel,,
,ул ,noun masculine,fiľ,,
,анда ,adverb,там,,
,täwä ,noun masculine,верблюд,,
,яңабаштан йөкләү ,verb pf,перезагрузить,,
,яңабаштан йөкләү ,masculine,перезапуск,,
,вәкаләт тапшыру ,noun,делегат,,
,вәкаләт тапшыру ,noun masculine,представитель,,
,тамгаланганны инкарь итүче сөзгеч ,nonetype,фильтрация, исключающая выделение,,
,һәммә ,nonetype,tot,,
,һәммә ,nonetype,totu,,
,сынау файлы ,nonetype,тестовый файл,,
,гомер ,nonetype,гомер,,
,"Стандарт" корал аслыгы ,nonetype,стандартная панель инструментов,,
,язма ,noun feminine,запись,,
,язма ,noun feminine,заметка,,
,язма ,nonetype,запись блога,,
,язма ,nonetype,личное сообщение,,
,язма ,noun feminine,надпись,,
,язма ,noun,публикация,,
,язма ,verb,создать,,
,язма ,verb,учесть,,
,белорусь ,proper masculine,белорусский,,
,белорусь ,noun masculine,белорусский язык,,
,белорусь ,nonetype,Белорусский,,
,белорусь ,proper masculine,белорусский,,
,фэнтези ,noun feminine,фэнтези,,
,британия империясе ,nonetype,британская империя,,
,параметрлар модификаторы ,nonetype,модификатор параметров,,
,санлы имза кую ,nonetype,с цифровой подписью,,
,-сә ,nonetype,acu,,
,чәч ,nonetype,per,,
,шалтырау тавышы ,nonetype,мелодия звонка,,
,календарь ,noun masculine,календарь,,
,календарь ,nonetype,Календарь,,
,электроника ,nonetype,електроніка,,
,иминлек коды ,nonetype,идентификатор безопасности,,
,клавдий птолемей ,nonetype,клавдий птолемей,,
,тоташтыру ,noun,связывание,,
,тоташтыру ,verb,связывать,,
,Йөкләү ,nonetype,Загрузки,,
,Йөкләү ,noun,загрузка,,
,Йөкләү ,verb pf,скачать,,
,ир ,noun masculine,муж,,
,ир ,noun masculine,мужчина,,
,ир ,noun masculine,супруг,,
,ир ,noun masculine,мужик,,
,таяк ,noun feminine,палка,,
,Кискечләр ,noun,срезы,,
,ботак ,noun feminine,ветвь,,
,ботак ,noun feminine,ветка,,
,yöräk ,noun masculine,язык,,
,кайчан ,adverb neuter,когда,,
,кабык ,nonetype,кора,,
,өтер ,noun feminine,запятая,,
,кем ,nonetype,cai,,
,кем ,nonetype,cari,,
,кем ,nonetype,tsine,,
,шрифт үлчәме ,nonetype,размер шрифта,,
,санак администраторы ,nonetype,администратор компьютера,,
,Mäskäw ,noun feminine,Москва,,
,Mäskäw ,noun,москва,,
,өлкәр ,nonetype,плеяды,,
,өлкәр ,noun feminine,Плеяды,,
,tön ,feminine,noapte,,
,tön ,noun feminine,noapti,,
,Япон ,nonetype,Японский,,
,Япон ,proper feminine,Япония,,
,Япон ,proper masculine,японский,,
,Япон ,noun masculine,японец,,
,Укылмаган үзгәрешләр ,nonetype,непрочитанные изменения,,
,балалар өчен яраклы веб-төен ,nonetype,веб-сайт для детей,,
,тәг кую ,noun masculine,маркер,,
,тәг кую ,nonetype,маркировать,,
,тәг кую ,verb,помечать,,
,тәг кую ,noun masculine,тег,,
,башкаручы ,noun masculine,исполнитель,,
,ceuta ,nonetype,ceuta,,
,кыска сызык ,nonetype,короткое тире,,
,суүсемнәр ,noun feminine,водоросли,,
,AİDS ,nonetype,Синдром приобретённого иммунного дефицита,,
,AİDS ,noun masculine,СПИД,,
,кызыл ,nonetype,arosh,,
,кызыл ,nonetype,Aroșu,,
,һәммә ,nonetype,усё,,
,һәммә ,nonetype,ушытко,,
,һәммә ,nonetype,ушыткоє,,
,һәммә ,nonetype,ушыткі,,
,түгел ,noun,не,,
,да ,adverb,тоже,,
,да ,conjunction neuter,и,,
,да ,conjunction,да,,
,да ,conjunction,также,,
,ел фасыллары ,noun,времена года,,
,ел фасыллары ,noun neuter,время года,,
,мәкаль ,noun feminine,пословица,,
,мәкаль ,noun,пословица,,
,австралия ,nonetype,австралия,,
,австралия ,proper, noun feminine,Австралия,,
,яңгыр ,nonetype,ploaiă,,
,түш ,noun feminine,грудь,,
,түш ,noun,перси,,
,түш ,noun feminine,грудка,,
,бел ,noun masculine,бел,,
,бел ,verb,знать,,
,бел ,verb,узнать,,
,бел ,verb,уметь,,
,ерак ,nonetype,diparti,,
,тонна ,noun feminine,тонна,,
,продукт ачкычы ,nonetype,ключ продукта,,
,ике ,Cardinal number, determiner masculine,два,,
,ике ,determiner masculine,оба,,
,ике ,Cardinal number feminine,две,,
,ике ,numeral,двое,,
,ике ,determiner feminine,обе,,
,ике ,noun feminine,пара,,
,ике ,determiner masculine,второй,,
,ике ,noun feminine,двойка,,
,номерлы исемлек ,nonetype,нумерованный список,,
,колумбия ,nonetype,columbia,,
,өстенлекләрне файдалану ,nonetype,воспользоваться преимуществами,,
,ахыр кулланучы ,noun masculine,пользователь,,
,Тамил ,nonetype,Тамильский,,
,Тамил ,proper masculine,тамильский,,
,yözem ,noun feminine,виноградина,,
,yözem ,noun masculine,виноград,,
,yözem ,noun,изюминка,,
,стандарт хисап язмасы ,nonetype,стандартная учетная запись,,
,эт билгесе ,nonetype,знак "@",,
,кече ,adjective,маленький,,
,кече ,noun,малый,,
,кече ,adjective,меньший,,
,кече ,adjective masculine,младший,,
,агарга ,nonetype,cur,,
,Kemal Atatürk ,nonetype,Мустафа Кемаль Ататюрк,,
,диалог тәрәзе ,nonetype,диалоговое окно,,
,структур редакцияләү ,nonetype,правка структурированнрого документа,,
,Португал ,nonetype,Portogallia,,
,активлаштыру ,noun,активация,,
,Париж ,proper masculine,Париж,,
,Париж ,nonetype,париж,,
,Мобиль ,adjective,мобильный,,
,ачыклык ,noun,открытость,,
,ачыклык ,noun neuter,разрешение,,
,администратор ,noun masculine,администратор,,
,ислам ,nonetype,іслам,,
,мультимедиа серверы ,nonetype,сервер мультимедиа,,
,килергә ,verb,прийти,,
,килергә ,verb,приходить,,
,килергә ,verb impf,приезжать,,
,килергә ,verb pf,приехать,,
,Соры төсмерләр ,nonetype,оттенки серого,,
,одер ,nonetype,одра,,
,бары ,pronoun masculine,весь,,
,бары ,pronoun p,все,,
,бары ,noun neuter,всё,,
,бары ,noun,лишь,,
,бары ,noun,только,,
,Ğaşura bäyräme ,nonetype,Шахсей-вахсей,,
,Португал ,nonetype,Португальский,,
,Португал ,proper feminine,Португалия,,
,Португал ,proper,португальский,,
,Португал ,proper,португальский,,
,кытай теле ,nonetype,кітайскый язык,,
,кораллар аслыгы төймәсе ,nonetype,кнопка панели инструментов,,
,манара ,noun feminine,башня,,
,манара ,noun masculine,минарет,,
,манара ,nonetype,Минарет,,
,манара ,noun feminine,вежа,,
,манара ,noun feminine,вышка,,
,Ğínwar ,nonetype,Январь,,
,Ğínwar ,proper masculine,январь,,
,кеше ,nonetype,u̯om,,
,Tallinn ,proper,Tallinn,,
,карбыз ,noun masculine,арбуз,,
,Latvia ,proper feminine,Латвия,,
,Ижау ,proper masculine,Ижевск,,
,диск бүлеме ,nonetype,раздел диска,,
,син ,nonetype,tine,,
,син ,nonetype,tini,,
,син ,nonetype,tu,,
,пи саны ,noun neuter,пи,,
,пи саны ,noun,пи,,
,Госман империясе ,proper feminine,Османская империя,,
,Госман империясе ,feminine,Оттоманская империя,,
,урам ,noun feminine,улица,,
,Qasím II ,nonetype,Касим II,,
,Мухши ,nonetype,Мокшанский,,
,Мухши ,proper,мокшанский,,
,Мухши ,proper,мокшанский,,
,кояш системасы ,nonetype,сонячна сістема,,
,төп текст ,nonetype,основной текст,,
,вакыт шкаласы ,nonetype,шкала времени,,
,саңгыраулык ,noun feminine,глухота,,
,тригонометрия ,noun feminine,тригонометрия,,
,тригонометрия ,noun,тригонометрия,,
,стильләр таблицасы ,nonetype,таблица стилей,,
,тамыр ,feminine,arãdãtsinã,,
,тамыр ,feminine,rãdãtsinã,,
,тамыр ,nonetype,zãrtsinã,,
,тамыр ,feminine,zãrãtsinã,,
,хисап язмасы ,nonetype,бизнес-партнер,,
,хисап язмасы ,nonetype,счет главной книги,,
,хисап язмасы ,nonetype,учетная запись,,
,хисап язмасы ,nonetype,учетная запись,,
,Файл бикләү ,nonetype,блокировка файлов,,
,уңнан сулга язулы ,nonetype,справа налево,,
,äpril ,proper masculine,апрель,,
,äpril ,nonetype,Апрель,,
,кертелгән объект ,nonetype,внедренный объект,,
,Böyek Watan Suğışı ,proper,Великая Отечественная война,,
,сул җәя ,nonetype,открывающая фигурная скобка,,
,yalğızlıq ,noun neuter,одиночество,,
,yalğızlıq ,noun neuter,уединение,,
,электрон почта адресы ,masculine,адрес электронной почты,,
,объект-рәсем ,nonetype,объект-рисунок,,
,Täxällüs ,nonetype,Псевдоним,,
,өч үлчәмле ,nonetype,трехмерный,,
,шул җирдә ,nonetype,там,,
,муса пәйгамбәр ,nonetype,моисей,,
,интерференция ,noun,интерференция,,
,интерференция ,nonetype,интерференция волн,,
,интерференция ,nonetype,Интерференция волн,,
,Senegal ,proper masculine,Сенегал,,
,оператив хәтер ,nonetype,ОЗУ,,
,шомарту ,noun,сглаживание,,
,визуаль интерфейс ,noun masculine,графический интерфейс пользователя,,
,фишинг ,noun,фишинг,,
,ел ,nonetype,рік,,
,льготалы период ,nonetype,льготный период,,
,льготалы период ,nonetype,период отсрочки,,
,маңгай ,noun masculine,лоб,,
,елан ,nonetype,şarpi,,
,колизей ,nonetype,колизей,,
,nöyäber ,proper masculine,ноябрь,,
,nöyäber ,nonetype,Ноябрь,,
,nöyäber ,proper masculine,ноябрь,,
,balet ,noun masculine,балет,,
,balet ,noun masculine,балет,,
,күк ,noun masculine,tser,,
,күк ,nonetype,Țeru,,
,сугышырга ,nonetype,mi bat,,
,сугышырга ,nonetype,mi buros,,
,mäskäw ,noun,москва,,
,mäskäw ,noun feminine,Москва,,
,fälsäfä ,noun feminine,философия,,
,тау ,masculine,munte,,
,тау ,nonetype,munti,,
,минск ,nonetype,мінск,,
,кластер ,noun masculine,кластер,,
,кластер ,nonetype,единица размещения,,
,тарату төркеме ,nonetype,группа рассылки,,
,тарату төркеме ,nonetype,список рассылки,,
,baldaq ,noun,кольцо,,
,baldaq ,noun,перстень,,
,чистарту ,nonetype,осуществлять клиринг,,
,чистарту ,verb pf,очистить,,
,чистарту ,verb impf,очищать,,
,чистарту ,noun,очистка,,
,биосфера ,noun feminine,биосфера,,
,биосфера ,nonetype,Биосфера,,
,өй шакмагы ,noun masculine,дом,,
,япония ,nonetype,японія,,
,таратма ,nonetype,раздаточные материалы,,
,читтәге сылтама ,nonetype,внешняя ссылка,,
,Berlin ,proper masculine,Берлин,,
,мамык ,noun masculine,хлопок,,
,мамык ,noun feminine,вата,,
,мамык ,noun masculine,пух,,
,тын алга ,verb impf,дышать,,
,күз ,noun,oclju,,
,күз ,nonetype,Ocľiu,,
,редактор ,noun masculine,редактор,,
,яңарту пакеты ,masculine,пакет обновления,,
,миникушымта ,noun masculine,гаджет,,
,сөяк ,nonetype,u̯os,,
,сөяк ,nonetype,uos,,
,şäreq ,noun masculine,восток,,
,şäreq ,noun masculine,ост,,
,кара ,nonetype,negru,,
,системадан чыгу ,nonetype,выйти из системы,,
,керү ,noun masculine,вход,,
,керү ,verb,входить,,
,керү ,noun masculine,доступ,,
,керү ,nonetype,получить доступ,,
,керү ,verb,войти,,
,колак ,noun feminine,ureaclje,,
,колак ,nonetype,Ureacľi,,
,афиннар ,nonetype,athina,,
,афиннар ,proper feminine,Athina,,
,шул ,nonetype,той,,
,шул ,nonetype,тота,,
,шул ,nonetype,тото,,
,Pennsylvania universitetı ,nonetype,Пенсильванский университет,,
,Pennsylvania universitetı ,nonetype,пенсильванский университет,,
,нәактив тәрәз ,nonetype,неактивное окно,,
,тыш ,noun feminine,внешность,,
,тыш ,adposition,кроме,,
,тыш ,noun,наружность,,
,тыш ,nonetype,переплет,,
,тыш ,noun,улица,,
,сербия ,nonetype,сербия,,
,сербия ,nonetype,Сербский,,
,сербия ,proper feminine,Сербия,,
,сербия ,proper masculine,сербский,,
,монархия ,nonetype,монархія,,
,монархия ,nonetype,Монархія,,
,Nederland ,proper masculine,Нидерланды,,
,Nederland ,proper feminine,Голландия,,
,күп ,nonetype,велё,,
,күп ,nonetype,много,,
,Ana-Watan ,nonetype,Родина-мать,,
,вәхши ,adjective,скотский,,
,Chicago ,proper masculine,Чикаго,,
,гамәл юлы ,nonetype,строка действия,,
,конструктор режимы ,nonetype,Конструктор,,
,конструктор режимы ,nonetype,представление конструирования,,
,карта ,noun feminine,карта,,
,карта ,noun,плата,,
,төркия ,nonetype,turchia,,
,төркия ,nonetype,Turchia,,
,қол ,noun feminine,рука,,
,шартлы ,adjective,условный,,
,фон ,noun masculine,фон,,
,фон ,nonetype,фоновый,,
,däwlät sekretare ,noun masculine,министр иностранных дел,,
,чөнки ,noun,ибо,,
,чөнки ,noun,потому что,,
,sovet sosialist cömhüriätlär berlege ,nonetype,союз советских социалистических республик,,
,таблица исеме ,nonetype,имя таблицы,,
,орегон ,nonetype,орегон,,
,кысарга ,verb impf,сжимать,,
,кысарга ,verb,стискивать,,
,албит ,nonetype,начальная страница,,
,албит ,noun feminine,домашняя страница,,
,халәт ,noun neuter,состояние,,
,халәт ,noun masculine,статус,,
,London ,proper masculine,Лондон,,
,London ,proper,лондонский,,
,дискет ,noun feminine,дискета,,
,дискет ,noun masculine,гибкий диск,,
,аскы колонтитул ,masculine,нижний колонтитул,,
,сигезенче ,numeral masculine,восьмой,,
,сигезенче ,adjective,8-ой,,
,сигезенче ,adjective feminine,восьмая,,
,сигезенче ,adjective,восьмое,,
,сигезенче ,adjective,восьмые,,
,яшеренлек ,nonetype,конфиденциальность,,
,чәнчергә ,nonetype,pung,,
,гейзер ,noun masculine,гейзер,,
,гейзер ,noun,гейзер,,
,ğaysa ,nonetype,иисус христос,,
,ğaysa ,proper masculine,Иисус,,
,ğaysa ,proper masculine,Иисус Христос,,
,ğaysa ,nonetype,Иисус в исламе,,
,дәфтәр ,noun feminine,тетрадь,,
,дәфтәр ,noun feminine,записная книжка,,
,дәфтәр ,noun feminine,книга,,
,дәфтәр ,nonetype,рабочая книга,,
,дәфтәр ,noun,тетрадка,,
,форма өлгесе ,nonetype,шаблон формы,,
,Windows яңарту үзәге ,nonetype,Центр обновления Windows,,
,Windows яңарту үзәге ,nonetype,клиентский компонент Центра обновления Windows,,
,İlham ,nonetype,Ильхам,,
,tiş ,noun masculine,зуб,,
,tiş ,noun masculine,зубец,,
,tiş ,noun p,зубья,,
,tiş ,noun,зубцы,,
,tiş ,noun masculine,зубы,,
,Электрон почта хәбәре ,nonetype,сообщение электронной почты,,
,кешелек ,noun neuter,человечество,,
,әйләнә ,nonetype,круг,,
,әйләнә ,nonetype,Круг,,
,интерактив ,adjective,интерактивный,,
,Балык ,proper feminine,Рыбы,,
,Балык ,noun feminine,рыба,,
,Ügezbozaw ,proper masculine,Телец,,
,кадрларга бүлү ,feminine,раскадровка,,
,яфрак ,noun neuter,лист,,
,яфрак ,noun,листок,,
,яфрак ,nonetype,Лист,,
,яфрак ,noun m-p,листья,,
,íman ,noun feminine,вера,,
,íman ,nonetype,Иман,,
,ерак ,adverb,далеко,,
,ерак ,adjective,далёкий,,
,ерак ,noun,дальний,,
,теш ,nonetype,dinti,,
,теш ,nonetype,măseau̯ă,,
,гималайлар ,nonetype,гімалаї,,
,табылу ,nonetype,выполненная строка,,
,табылу ,noun,попадание,,
,Эш башы ,nonetype,Начало работы,,
,Эш башы ,nonetype,начало работы,,
