,tt,type,ru,,
,италия,proper,Итальянский ,,
,Италия,nonetype,Итальянский ,,
,Litua,nonetype,Литва ,,
,литва,nonetype,Литва ,,
,бизәлеш элементлары,nonetype,элемент оформления ,,
,чәнчергә,nonetype,уколоть ,,
,када,verb,уколоть ,,
,гайана,nonetype,гайана ,,
,Гайана,proper,гайана ,,
,сәламәтлек,noun,здоровье ,,
,Сәламәтлек,nonetype,здоровье ,,
,саулык,noun,здоровье ,,
,Akashi-Kaikyō küpere,nonetype,Акаси-Кайкё ,,
,яшел,adjective,зелёный ,,
,яшель,nonetype,зелёный ,,
,яшел,adjective,зелёный ,,
,bäräñge,noun,земляное яблоко ,,
,бәрәңге,noun,земляное яблоко ,,
,atlan may,nonetype,сливочное масло ,,
,атланмай,nonetype,сливочное масло ,,
,май,noun,сливочное масло ,,
,номер җыючы,nonetype,набиратель номера ,,
,вакыт сызыгы,nonetype,временная шкала ,,
,вакыт тәртибендә,nonetype,временная шкала ,,
,синтаксик хата,nonetype,синтаксическая ошибка ,,
,Алгы бит,nonetype,корневая папка ,,
,Төп,nonetype,корневая папка ,,
,Төп бүлеккә,nonetype,корневая папка ,,
,тамыр папка,nonetype,корневая папка ,,
,Контактлар,nonetype,Контакты ,,
,биология,noun,биология ,,
,biolog,nonetype,биология ,,
,biologí,nonetype,биология ,,
,биялугия,nonetype,биология ,,
,сканерлау,nonetype,проверка ,,
,тикшерү,nonetype,проверка ,,
,ярашсыз,nonetype,несовместимый ,,
,кайтару,nonetype,вернуть ,,
,кайтарырга,nonetype,вернуть ,,
,тикшереп кайтару,nonetype,вернуть ,,
,инициализацияләү,nonetype,запустить ,,
,башлау,nonetype,запустить ,,
,эшләтеп җибәрү,nonetype,запустить ,,
,плюс тамгасы,nonetype,знак "плюс" ,,
,башкарылу датасы,nonetype,дата выполнения ,,
,кабатланучы таблица,nonetype,повторяющаяся таблица ,,
,Tallinn,proper,Таллинн ,,
,päräwez,nonetype,интернет ,,
,Пәрәвез,nonetype,интернет ,,
,интернет,noun,интернет ,,
,Päräwez,nonetype,интернет ,,
,Веб,nonetype,интернет ,,
,Интернет,nonetype,интернет ,,
,веб,noun,интернет ,,
,уңга тигезләнгән,nonetype,выровненный по правому краю ,,
,рамазан,proper,рамазан ,,
,Рамазан,proper,рамазан ,,
,фауна,noun,фауна ,,
,Фауна,nonetype,фауна ,,
,Zöyä yılğası,nonetype,Свияга ,,
,mahe,nonetype,женщина ,,
,mihan,nonetype,женщина ,,
,mihen,nonetype,женщина ,,
,warewaʼ,nonetype,женщина ,,
,бәйләнешле стильләр таблицасы,nonetype,связанная таблица стилей ,,
,баш тарту,nonetype,отменить ,,
,күп нокталы кертү,nonetype,мультисенсорный ввод ,,
,Грек,proper,греческий ,,
,грек,nonetype,греческий ,,
,Грек,proper,греческий ,,
,англия,nonetype,англия ,,
,Англия,proper,англия ,,
,йомыш,noun,дело ,,
,эш,noun,дело ,,
,эшлисе,nonetype,дело ,,
,эшлисе эш,nonetype,дело ,,
,Lwów yäş börketläre,nonetype,Львовские орлята ,,
,mísal,noun,пример ,,
,ürnäk,noun,пример ,,
,мисал,noun,пример ,,
,үрнәк,noun,пример ,,
,chongo,nonetype,собака ,,
,chonk,nonetype,собака ,,
,chunk,nonetype,собака ,,
,nonts,nonetype,собака ,,
,tsunk,nonetype,собака ,,
,роттердам,nonetype,роттердам ,,
,Ğíraq,nonetype,Ирак ,,
,гыйрак,nonetype,Ирак ,,
,каплау,nonetype,перекрытие ,,
,текст,noun,отправить SMS ,,
,сайлап урнаштыру,nonetype,выборочная установка ,,
,йөкләнмә,nonetype,скачать ,,
,йөкләү,nonetype,скачать ,,
,гамәлләр контроллеры,nonetype,хозяин операций ,,
,санак,nonetype,компьютер ,,
,компьютер,noun,компьютер ,,
,корыч,noun,сталь ,,
,Корыч,nonetype,сталь ,,
,бары,nonetype,все ,,
,бөтен,nonetype,все ,,
,һәммә,nonetype,все ,,
,барлык,nonetype,все ,,
,барча,nonetype,все ,,
,Яңалык башламы,nonetype,заголовок новостей ,,
,*stetka,nonetype,долгий ,,
,henem,nonetype,долгий ,,
,зурлыкны үзгәртү,nonetype,изменить размер ,,
,үлчәмен үзгәртү,nonetype,изменить размер ,,
,otoʼlakon,nonetype,зелёный ,,
,бинар файл,nonetype,двоичный файл ,,
,план,noun,план ,,
,сайланма,adjective,избранное ,,
,сайланмалар,nonetype,избранное ,,
,Орфографияне контекст тикшерү,nonetype,контекстная проверка орфографии ,,
,пион,noun,пион ,,
,чалма чәчәк,noun,пион ,,
,чалмабаш,noun,пион ,,
,йом,verb,закрыть ,,
,йомык,adjective,закрыть ,,
,ябу,nonetype,закрыть ,,
,ябык,adjective,закрыть ,,
,яп,verb,закрыть ,,
,etowa,nonetype,кто ,,
,ketowa,nonetype,кто ,,
,макрос,nonetype,макрос ,,
,Селтеле металлар,nonetype,щелочные металлы ,,
,селтеле металлар,nonetype,щелочные металлы ,,
,чагылдыру,nonetype,автоматически устанавливать ,,
,кәш,nonetype,помещать в кэш ,,
,кәшкә саклау,nonetype,помещать в кэш ,,
,аз,adjective,мало ,,
,кечек,adjective,мало ,,
,җимеш,noun,фрукт ,,
,үрдүн,nonetype,иордания ,,
,Jordan,proper,иордания ,,
,Иордания,proper,иордания ,,
,Үрдүн,proper,иордания ,,
,башлану датасы,nonetype,дата начала ,,
,каралама,nonetype,черновик ,,
,тел коды,nonetype,идентификатор языка ,,
,автосөзгеч,nonetype,автофильтр ,,
,чигенеш,nonetype,понизить уровень ,,
,чигенеш ясау,nonetype,понизить уровень ,,
,икенчел ачкыч,nonetype,внешний ключ ,,
,зур,adjective,большой ,,
,дәү,adjective,большой ,,
,олы,adjective,большой ,,
,luta,nonetype,кушать ,,
,luti,nonetype,кушать ,,
,ruti,nonetype,кушать ,,
,walut,nonetype,кушать ,,
,инвертлау,nonetype,обратить ,,
,шифрны ачу,nonetype,расшифровка ,,
,афиннар,nonetype,афины ,,
,Афиннар,proper,афины ,,
,төбәү җайланмасы,nonetype,указывающее устройство ,,
,мөрәҗәгать,noun,обращение ,,
,бөек британия,nonetype,великобритания ,,
,бөекбритания,nonetype,великобритания ,,
,Бөекбритания,proper,великобритания ,,
,Яссылык,nonetype,плоскость ,,
,яссылык,nonetype,плоскость ,,
,Çikläwek Watuçı,nonetype,Щелкунчик ,,
,читтәге,nonetype,удаленный ,,
,konspe,nonetype,думать ,,
,opemiha,nonetype,думать ,,
,Mzımta,nonetype,Мзымта ,,
,веб-таләп,nonetype,веб-запрос ,,
,класс модуле,nonetype,модуль класса ,,
,Литва,nonetype,литовский ,,
,Литва,nonetype,литовский ,,
,җыр,noun,песня ,,
,cır,noun,песня ,,
,каһирә,nonetype,каир ,,
,сөйрәп күчерү,nonetype,перетаскивание ,,
,qawoʼ,nonetype,дождь ,,
,океанлык,nonetype,океания ,,
,программа-календарь,nonetype,программа-календарь ,,
,Хартум,proper,Хартум ,,
,хартум,nonetype,Хартум ,,
,нарат,noun,сосна ,,
,кос,noun,сосна ,,
,Уку режимы,nonetype,режим чтения ,,
,Yura,nonetype,Югра ,,
,төньяк,noun,север ,,
,tönyaq,noun,север ,,
,Төньяк,nonetype,север ,,
,акча янчыгы,nonetype,бумажник ,,
,бикле,nonetype,заблокированный ,,
,дус,noun,друг ,,
,dus,noun,друг ,,
,аркадаш,nonetype,друг ,,
,әшнә,nonetype,друг ,,
,tamihen,nonetype,жена ,,
,анда,nonetype,там ,,
,тегендә,nonetype,там ,,
,ул җирдә,nonetype,там ,,
,шул җирдә,nonetype,там ,,
,теге,pronoun,там ,,
,шунда,nonetype,там ,,
,вәкаләт тапшыру,nonetype,представитель ,,
,вәкил,noun,представитель ,,
,тамгаланганны инкарь итүче сөзгеч,nonetype,фильтрация, исключающая выделение ,,
,яңабаштан йөкләү,nonetype,перезагрузить ,,
,дөя,noun,верблюд ,,
,döyä,noun,верблюд ,,
,täwä,noun,верблюд ,,
,döya,nonetype,верблюд ,,
,тәвә,nonetype,верблюд ,,
,сынау файлы,nonetype,тестовый файл ,,
,"Стандарт" корал аслыгы,nonetype,стандартная панель инструментов ,,
,белорусь,proper,белорусский ,,
,Белорусь,nonetype,белорусский ,,
,Белорусь,nonetype,белорусский ,,
,нәшер итү,nonetype,публикация ,,
,публикация,nonetype,публикация ,,
,язма,nonetype,публикация ,,
,язма урнаштыру,nonetype,публикация ,,
,waksakpai,noun,хлеб ,,
,фэнтези,nonetype,фэнтези ,,
,фәнтези,nonetype,фэнтези ,,
,британия империясе,nonetype,британская империя ,,
,параметрлар модификаторы,nonetype,модификатор параметров ,,
,санлы имза кую,nonetype,с цифровой подписью ,,
,санлы имзалы,nonetype,с цифровой подписью ,,
,шалтырау тавышы,nonetype,мелодия звонка ,,
,календарь,noun,календарь ,,
,Тәкъвим,nonetype,календарь ,,
,тәкъвим,nonetype,календарь ,,
,Календарь,nonetype,календарь ,,
,иминлек коды,nonetype,идентификатор безопасности ,,
,клавдий птолемей,nonetype,клавдий птолемей ,,
,сылтамалар,nonetype,связывание ,,
,тоташтыру,nonetype,связывание ,,
,ир,noun,супруг ,,
,таяк,noun,палка ,,
,Йөкләү,nonetype,Загрузки ,,
,Кискечләр,nonetype,срезы ,,
,ботак,noun,ветка ,,
,тармак,noun,ветка ,,
,taksitai,noun,река ,,
,takse,nonetype,река ,,
,taksita,nonetype,река ,,
,tel,noun,язык ,,
,тел,noun,язык ,,
,tele,proper,язык ,,
,yöräk,nonetype,язык ,,
,тел (анатомия),nonetype,язык ,,
,әрмән теле,proper,язык ,,
,кайчан,adverb,когда ,,
,өтер,nonetype,запятая ,,
,шрифт үлчәме,nonetype,размер шрифта ,,
,санак администраторы,nonetype,администратор компьютера ,,
,Mäskäw,nonetype,Москва ,,
,Мәскәү,proper,Москва ,,
,mäskäw,nonetype,Москва ,,
,nomp,nonetype,два ,,
,өлкәр,nonetype,плеяды ,,
,Иләк йолдыз,nonetype,плеяды ,,
,Өлкәр,nonetype,плеяды ,,
,Япон,nonetype,японский ,,
,Япон,nonetype,японский ,,
,Укылмаган үзгәрешләр,nonetype,непрочитанные изменения ,,
,суүсемнәр,nonetype,водоросли ,,
,AİDS,nonetype,Синдром приобретённого иммунного дефицита ,,
,БИДС,nonetype,Синдром приобретённого иммунного дефицита ,,
,балалар өчен яраклы веб-төен,nonetype,веб-сайт для детей ,,
,дескриптор,nonetype,маркер ,,
,икеле күрсәткеч,nonetype,маркер ,,
,маркер,nonetype,маркер ,,
,тәг,nonetype,маркер ,,
,тәг кую,nonetype,маркер ,,
,башкаручы,noun,исполнитель ,,
,кыска сызык,nonetype,короткое тире ,,
,түгел,adverb,не ,,
,-ма,nonetype,не ,,
,әйе,interjection,да ,,
,һәм,conjunction,да ,,
,да,conjunction,да ,,
,дә,nonetype,да ,,
,белән,adposition,да ,,
,вә,conjunction,да ,,
,ел фасыллары,nonetype,времена года ,,
,Мәкаль,nonetype,пословица ,,
,мәкаль,nonetype,пословица ,,
,австралия,nonetype,австралия ,,
,Австралия,proper,австралия ,,
,бел,noun masculine,бел ,,
,тонна,noun,тонна ,,
,tonn,noun,тонна ,,
,tonna,noun,тонна ,,
,тонн,noun,тонна ,,
,күкрәк,noun,грудь ,,
,түш,noun,грудь ,,
,имчәк,nonetype,грудь ,,
,ими,nonetype,грудь ,,
,продукт ачкычы,nonetype,ключ продукта ,,
,ike,Cardinal number,две ,,
,ике,Cardinal number,две ,,
,номерлы исемлек,nonetype,нумерованный список ,,
,өстенлекләрне файдалану,nonetype,воспользоваться преимуществами ,,
,ахыр кулланучы,nonetype,пользователь ,,
,кулланучы,noun,пользователь ,,
,Тамил,nonetype,тамильский ,,
,Тамил,nonetype,тамильский ,,
,yözem,noun,виноград ,,
,йөзем,nonetype,виноград ,,
,стандарт хисап язмасы,nonetype,стандартная учетная запись ,,
,ley,nonetype,здесь ,,
,newa,nonetype,здесь ,,
,ney,nonetype,здесь ,,
,эт билгесе,nonetype,знак "@" ,,
,кече,adjective,малый ,,
,кечек,adjective,малый ,,
,кечкенә,adjective,малый ,,
,бәләкәй,adjective,малый ,,
,Kemal Atatürk,nonetype,Мустафа Кемаль Ататюрк ,,
,wahtakaʼ,nonetype,мужчина ,,
,диалог тәрәзе,nonetype,диалоговое окно ,,
,структур редакцияләү,nonetype,правка структурированнрого документа ,,
,активлаштыру,nonetype,активация ,,
,Париж,proper,Париж ,,
,Paris,proper,Париж ,,
,париж,nonetype,Париж ,,
,histek,nonetype,камень ,,
,nistek,nonetype,камень ,,
,Мобиль,nonetype,мобильный ,,
,рөхсәт,noun,разрешение ,,
,ачыклык,nonetype,разрешение ,,
,рөхсәтләр,nonetype,разрешение ,,
,килергә,nonetype,прийти ,,
,кил-ергә,nonetype,прийти ,,
,администратор,nonetype,администратор ,,
,систем администратор,nonetype,администратор ,,
,мультимедиа серверы,nonetype,сервер мультимедиа ,,
,Соры төсмерләр,nonetype,оттенки серого ,,
,соры төс төсмерләре,nonetype,оттенки серого ,,
,одер,nonetype,одра ,,
,вәкаләт тапшыру,nonetype,делегат ,,
,делегат,noun,делегат ,,
,Ğaşura bäyräme,nonetype,Шахсей-вахсей ,,
,бары,pronoun,весь ,,
,бөтен,nonetype,весь ,,
,һәммә,nonetype,весь ,,
,бар,determiner,весь ,,
,барлык,determiner,весь ,,
,бөтенесе,pronoun,весь ,,
,ilachke,nonetype,царапать ,,
,konaqlota,nonetype,царапать ,,
,Португал,nonetype,Португальский ,,
,португал,proper,Португальский ,,
,Португал,nonetype,Португальский ,,
,Ğínwar,nonetype,Январь ,,
,ğínwar,proper,Январь ,,
,гыйнвар,noun,Январь ,,
,ğinwar,nonetype,Январь ,,
,январь,noun,Январь ,,
,кораллар аслыгы төймәсе,nonetype,кнопка панели инструментов ,,
,манара,noun,минарет ,,
,манара,nonetype,минарет ,,
,Ижау,proper,Ижевск ,,
,карбыз,noun,арбуз ,,
,Latvia,nonetype,Латвия ,,
,Latviä,nonetype,Латвия ,,
,Латвия,proper,Латвия ,,
,latviä,nonetype,Латвия ,,
,диск бүлеме,nonetype,раздел диска ,,
,Пи саны,nonetype,пи ,,
,пи саны,nonetype,пи ,,
,Госман империясе,proper,Османская империя ,,
,Qasím II,nonetype,Касим II ,,
,урам,noun,улица ,,
,тыш,noun,улица ,,
,уран,noun,улица ,,
,мухши,proper,мокшанский ,,
,Мухши,nonetype,мокшанский ,,
,Мухши,nonetype,мокшанский ,,
,gwayutik,nonetype,мясо ,,
,wayuqtik,nonetype,мясо ,,
,вакыт шкаласы,nonetype,шкала времени ,,
,төп текст,nonetype,основной текст ,,
,саңгыраулык,nonetype,глухота ,,
,тригонометрия,nonetype,тригонометрия ,,
,Тригонометрия,nonetype,тригонометрия ,,
,стильләр таблицасы,nonetype,таблица стилей ,,
,Хисап язмасы,nonetype,учетная запись ,,
,хисап язмасы,nonetype,учетная запись ,,
,äpril,proper,апрель ,,
,апрель,noun,апрель ,,
,aprel,nonetype,апрель ,,
,Äpril,nonetype,апрель ,,
,уңнан сулга язулы,nonetype,справа налево ,,
,Файл бикләү,nonetype,блокировка файлов ,,
,Böyek Watan Suğışı,nonetype,Великая Отечественная война ,,
,кертелгән объект,nonetype,внедренный объект ,,
,сул җәя,nonetype,открывающая фигурная скобка ,,
,sementa,nonetype,живот ,,
,yalğızlıq,noun,одиночество ,,
,электрон почта адресы,nonetype,адрес электронной почты ,,
,муса пәйгамбәр,nonetype,моисей ,,
,Муса,nonetype,моисей ,,
,объект-рәсем,nonetype,объект-рисунок ,,
,Täxällüs,nonetype,Псевдоним ,,
,Тәхәллүс,nonetype,Псевдоним ,,
,кушамат,nonetype,Псевдоним ,,
,псевдоним,nonetype,Псевдоним ,,
,3-D,nonetype,трехмерный ,,
,өч үлчәмле,nonetype,трехмерный ,,
,интерференция,nonetype,интерференция волн ,,
,Интерференция,nonetype,интерференция волн ,,
,оператив хәтер,nonetype,ОЗУ ,,
,Senegal,proper,Сенегал ,,
,Сенегал,proper,Сенегал ,,
,шомарту,nonetype,сглаживание ,,
,графикалы кулланучы интерфейсы,nonetype,графический интерфейс пользователя ,,
,визуаль интерфейс,nonetype,графический интерфейс пользователя ,,
,льготалы период,nonetype,льготный период ,,
,фишинг,nonetype,фишинг ,,
,nöyäber,proper,ноябрь ,,
,Nöyäber,nonetype,ноябрь ,,
,ноябрь,noun,ноябрь ,,
,Nöyäber,nonetype,ноябрь ,,
,колизей,nonetype,колизей ,,
,маңгай,noun,лоб ,,
,Balet,nonetype,балет ,,
,balet,nonetype,балет ,,
,балет,noun,балет ,,
,mäskäw,nonetype,москва ,,
,Mäskäw,nonetype,москва ,,
,Мәскәү,proper,москва ,,
,тарату төркеме,nonetype,группа рассылки ,,
,fälsäfä,nonetype,философия ,,
,фәлсәфә,noun,философия ,,
,философия,noun,философия ,,
,baldaq,noun,кольцо ,,
,yözek,noun,кольцо ,,
,балдак,noun,кольцо ,,
,йөзек,noun,кольцо ,,
,чистарту,nonetype,очищать ,,
,өй,noun,дом ,,
,йорт,noun,дом ,,
,Өй,nonetype,дом ,,
,өй шакмагы,nonetype,дом ,,
,кластер,nonetype,кластер ,,
,биосфера,noun,биосфера ,,
,Биосфера,nonetype,биосфера ,,
,таратма,nonetype,раздаточные материалы ,,
,Киҗе-мамык,nonetype,хлопок ,,
,мамык,noun,хлопок ,,
,Berlin,proper,Берлин ,,
,Берлин,proper,Берлин ,,
,берлин,nonetype,Берлин ,,
,читтәге сылтама,nonetype,внешняя ссылка ,,
,суларга,nonetype,дышать ,,
,тын алга,nonetype,дышать ,,
,сула,verb,дышать ,,
,мөхәррир,nonetype,редактор ,,
,редактор,noun,редактор ,,
,яңарту пакеты,nonetype,пакет обновления ,,
,гаджет,nonetype,гаджет ,,
,миникушымта,nonetype,гаджет ,,
,Гаджет,nonetype,гаджет ,,
,көнчыгыш,noun,восток ,,
,könçığış,noun,восток ,,
,şäreq,noun,восток ,,
,шәреҡ,nonetype,восток ,,
,Көнчыгыш,nonetype,восток ,,
,шәрык,nonetype,восток ,,
,könçığış,noun,ост ,,
,şäreq,noun,ост ,,
,көнчыгыш,noun,ост ,,
,шәреҡ,nonetype,ост ,,
,системадан чыгу,nonetype,выйти из системы ,,
,керергә,nonetype,входить ,,
,кер,verb,входить ,,
,керү,noun,входить ,,
,Pennsylvania universitetı,nonetype,Пенсильванский университет ,,
,pennsylvania universitetı,nonetype,Пенсильванский университет ,,
,тыш,nonetype,переплет ,,
,сербия,nonetype,сербия ,,
,Сербия,proper,сербия ,,
,нәактив тәрәз,nonetype,неактивное окно ,,
,Nederland,proper,Нидерланды ,,
,Hollandia,proper,Нидерланды ,,
,Niderland,proper,Нидерланды ,,
,Голландия,nonetype,Нидерланды ,,
,Нидерландлар,nonetype,Нидерланды ,,
,нидерландлар,nonetype,Нидерланды ,,
,Ana-Watan,nonetype,Родина-мать ,,
,вәхши,adjective,скотский ,,
,гамәл юлы,nonetype,строка действия ,,
,конструктор режимы,nonetype,Конструктор ,,
,конструктор,noun,Конструктор ,,
,Chicago,proper,Чикаго ,,
,карта,noun,карта ,,
,karta,noun,карта ,,
,xarita,noun,карта ,,
,кәрт,noun,карта ,,
,харита,nonetype,карта ,,
,кул,noun,рука ,,
,қол,nonetype,рука ,,
,kul,nonetype,рука ,,
,däwlät sekretare,nonetype,министр иностранных дел ,,
,шартлы,nonetype,условный ,,
,фон,noun,фон ,,
,фондагы,nonetype,фон ,,
,чөнки,conjunction,ибо ,,
,ih,nonetype,уста ,,
,sovet sosialist cömhüriätlär berlege,nonetype,союз советских социалистических республик ,,
,Совет Социалистик Республикалар Союзы,proper,союз советских социалистических республик ,,
,Sovetlar Berlege,nonetype,союз советских социалистических республик ,,
,таблица исеме,nonetype,имя таблицы ,,
,орегон,nonetype,орегон ,,
,статус,noun,статус ,,
,халәт,nonetype,статус ,,
,кысарга,nonetype,стискивать ,,
,Алгы бит,nonetype,домашняя страница ,,
,Төп,nonetype,домашняя страница ,,
,Төп бүлеккә,nonetype,домашняя страница ,,
,албит,nonetype,домашняя страница ,,
,Алгы бит,nonetype,домашняя страница ,,
,Төп,nonetype,домашняя страница ,,
,Төп бүлеккә,nonetype,домашняя страница ,,
,сэг,noun,псина ,,
,London,proper,лондонский ,,
,дискет,nonetype,гибкий диск ,,
,api,nonetype,хороший ,,
,bi,nonetype,хороший ,,
,biken,nonetype,хороший ,,
,ipi,nonetype,хороший ,,
,pi,nonetype,хороший ,,
,аскы колонтитул,nonetype,нижний колонтитул ,,
,сканерлау,nonetype,сканирование ,,
,сигезенче,adjective,восьмые ,,
,дәфтәр,nonetype,рабочая книга ,,
,Хосусыйлык,nonetype,конфиденциальность ,,
,яшеренлек,nonetype,конфиденциальность ,,
,Гейзер,nonetype,гейзер ,,
,гейзер,nonetype,гейзер ,,
,Yura,nonetype,Ханты-Мансийский автономный округ ,,
,ğaysa,nonetype,иисус христос ,,
,Ğaysa,nonetype,иисус христос ,,
,Гыйсә Мәсих,nonetype,иисус христос ,,
,Windows яңарту үзәге,nonetype,Центр обновления Windows ,,
,форма өлгесе,nonetype,шаблон формы ,,
,Электрон почта хәбәре,nonetype,сообщение электронной почты ,,
,İlham,nonetype,Ильхам ,,
,tiş,noun,зуб ,,
,теш,noun,зуб ,,
,кешелек,noun,человечество ,,
,insaniyat,nonetype,человечество ,,
,keşelek,nonetype,человечество ,,
,инсаният,nonetype,человечество ,,
,nahoh,nonetype,ухо ,,
,nahoq,nonetype,ухо ,,
,naqoq,nonetype,ухо ,,
,интерактив,nonetype,интерактивный ,,
,Balıq,nonetype,Рыбы ,,
,Балык,nonetype,Рыбы ,,
,балыклар,nonetype,Рыбы ,,
,хут йолдызлыгы,nonetype,Рыбы ,,
,Ügezbozaw,nonetype,Телец ,,
,Үгезбозау,nonetype,Телец ,,
,бозау,noun,Телец ,,
,сәвер йолдызлыгы,nonetype,Телец ,,
,кадрларга бүлү,nonetype,раскадровка ,,
,íman,nonetype,вера ,,
,дин,noun,вера ,,
,iman,nonetype,вера ,,
,İman,nonetype,вера ,,
,иман,noun,вера ,,
,ышану,noun,вера ,,
,яфрак,noun,лист ,,
,бит,noun,лист ,,
,табак,noun,лист ,,
,эш бите,nonetype,лист ,,
,яфрак,nonetype,лист ,,
,hankshik,nonetype,палка ,,
,oknashik,nonetype,палка ,,
,wanjek,nonetype,палка ,,
,ерак,adjective,дальний ,,
,аргы,adjective,дальний ,,
,hok,nonetype,всё ,,
,huk,nonetype,всё ,,
,hok,nonetype,всё ,,
,huk,nonetype,всё ,,
,intkus,nonetype,гладкий ,,
,табылу,nonetype,попадание ,,
,Эш башы,nonetype,начало работы ,,
,Эш башы,nonetype,начало работы ,,
,wayi,nonetype,кровь ,,
,Яңарту,nonetype,обновление ,,
,яңарту,nonetype,обновление ,,
,кот,noun,душа ,,
,рух,nonetype,душа ,,
,өрәк,nonetype,душа ,,
,күңел,noun,душа ,,
,Җан,nonetype,душа ,,
,җан,noun,душа ,,
,Kinder,nonetype,Конопля ,,
,kinder,noun,Конопля ,,
,киндер,nonetype,Конопля ,,
,yalğan,noun,неправда ,,
,yalğanlıq,noun,неправда ,,
,алдак,nonetype,неправда ,,
,ялган,noun,неправда ,,
,ялганлык,nonetype,неправда ,,
,андорра,nonetype,андорра ,,
,Andorra,nonetype,андорра ,,
,Андорра,proper,андорра ,,
,дөя,noun,верблюды ,,
,"Төзәтү" сайлагы,nonetype,меню "Правка" ,,
,dekäber,proper,декабрь ,,
,декабрь,noun,декабрь ,,
,Dekäber,nonetype,декабрь ,,
,öçpoçmaq,noun,треугольник ,,
,Өчпочмак,nonetype,треугольник ,,
,өчпочмак,nonetype,треугольник ,,
,дөрес булмаган,nonetype,неверный ,,
,кәфер,noun,неверный ,,
,рөхсәтле куллану сәясәте,nonetype,политика допустимого использования ,,
,үлчәмне үзгәртү маркеры,nonetype,маркер изменения размера ,,
,Шәхси челтәр,nonetype,личная сеть ,,
,координат,nonetype,координата ,,
,Бакы,proper,Баку ,,
,Baqı,nonetype,Баку ,,
,Bakı,nonetype,Баку ,,
,бакы,nonetype,Баку ,,
,Ышаныч үзәге,nonetype,центр управления безопасностью ,,
,olohi,nonetype,связывать ,,
