,cv,type,ru,,
,хăрама,nonetype,бояться ,,
,сехĕрлен,nonetype,бояться ,,
,хăра,nonetype,бояться ,,
,шиклен,nonetype,бояться ,,
,çитĕнÿ,nonetype,успех ,,
,ÿсĕм,nonetype,успех ,,
,ăнăçлăх,nonetype,успех ,,
,ăнăçу,nonetype,успех ,,
,евчĕ,nonetype,сват ,,
,хăта,nonetype,сват ,,
,шалта,nonetype,в глубине ,,
,ырлăх,nonetype,доброта ,,
,пăта,nonetype,кол ,,
,шалча,nonetype,кол ,,
,çаврашка,nonetype,округлый ,,
,чăмăр,nonetype,округлый ,,
,тикĕс,nonetype,прямой ,,
,тӱрĕ,nonetype,прямой ,,
,тӳрĕ,nonetype,прямой ,,
,йăрăс,nonetype,прямой ,,
,тÿрĕ,nonetype,прямой ,,
,яштак,nonetype,прямой ,,
,чуххăм,nonetype,наугад ,,
,шăрăх,nonetype,зной ,,
,ларт,nonetype,класть ,,
,хур,nonetype,класть ,,
,чик,nonetype,класть ,,
,яр,nonetype,класть ,,
,пуян,adjective,богач ,,
,сулахай,nonetype,левый ,,
,сулахайри,nonetype,левый ,,
,инкек,noun,несчастье ,,
,синкер,noun,несчастье ,,
,тамаша,nonetype,несчастье ,,
,усал,nonetype,несчастье ,,
,хĕн,nonetype,несчастье ,,
,хуйхă,nonetype,несчастье ,,
,хурлăх,nonetype,несчастье ,,
,шар,noun,несчастье ,,
,хĕсĕн,nonetype,сжиматься ,,
,чăмăртан,nonetype,сжиматься ,,
,шăтăк,nonetype,яма ,,
,лакăм,nonetype,яма ,,
,ланкашка,noun,яма ,,
,лупашка,noun,яма ,,
,пусă,nonetype,яма ,,
,ял,nonetype,сельский ,,
,сунтал,noun,наковальня ,,
,Сунтал,nonetype,наковальня ,,
,вӗсем,pronoun,они ,,
,вĕсем,nonetype,они ,,
,Вильнюс,nonetype,Вильнюс ,,
,вильнюс,nonetype,Вильнюс ,,
,Гагарин Юрий Алексеевич,nonetype,Юрий Алексеевич Гагарин ,,
,пӗҫӗ,nonetype,бедро ,,
,пĕçĕ,nonetype,бедро ,,
,Абрамович Роман Аркадьевич,nonetype,Роман Аркадьевич Абрамович ,,
,ÿрĕк-сÿрĕк,nonetype,лениво ,,
,мăран,nonetype,лениво ,,
,наян,nonetype,лениво ,,
,кăлăх,nonetype,напрасный ,,
,пустуй,adverb,напрасный ,,
,харам,nonetype,напрасный ,,
,курăк,nonetype,травяной ,,
,катрашка,nonetype,ком ,,
,муклашка,noun,ком ,,
,чăмак,nonetype,ком ,,
,çаклат,nonetype,закрывать на запор ,,
,çуха,nonetype,ворот ,,
,тÿлевлĕ,nonetype,платный ,,
,Чăваш чěлхи,nonetype,чувашский ,,
,чăваш чĕлхи,proper,чувашский ,,
,Чӑваш,nonetype,чувашский ,,
,Чӑвашла,nonetype,чувашский ,,
,чăваш,nonetype,чувашский ,,
,чăвашла,nonetype,чувашский ,,
,чӑвашла,nonetype,чувашский ,,
,чӑваш,nonetype,чувашский ,,
,эртел,nonetype,артель ,,
,çĕмрĕк,nonetype,обломок ,,
,ванчăк,nonetype,обломок ,,
,катăк,nonetype,обломок ,,
,хуçăк,nonetype,обломок ,,
,çыхма,nonetype,связывать ,,
,кǎкарма,nonetype,связывать ,,
,сыпма,nonetype,связывать ,,
,çых,nonetype,связывать ,,
,çыхăнтар,nonetype,связывать ,,
,хисеп,nonetype,числовой ,,
,черченлен,nonetype,становиться нежным ,,
,йăлт,nonetype,совсем ,,
,пат,adverb,совсем ,,
,пач,adverb,совсем ,,
,шалт,adjective,совсем ,,
,янк,nonetype,совсем ,,
,Советск,nonetype,Советск ,,
,украина,nonetype,украина ,,
,Украина,nonetype,украина ,,
,йăвалан,nonetype,катиться ,,
,кус,verb,катиться ,,
,сĕтлĕ,nonetype,удойный ,,
,çарат,nonetype,грабить ,,
,çăвар,nonetype,кусок ,,
,касăк,nonetype,кусок ,,
,катăк,nonetype,кусок ,,
,татăк,nonetype,кусок ,,
,чĕлĕ,nonetype,кусок ,,
,ÿрĕк-сÿрĕк,nonetype,медлительный ,,
,йăраланчăк,nonetype,медлительный ,,
,çитĕнтер,nonetype,выращивать ,,
,ÿстер,nonetype,выращивать ,,
,ĕрчет,nonetype,выращивать ,,
,акса ту,nonetype,выращивать ,,
,чĕрт,nonetype,выращивать ,,
,яв,verb,свивать ,,
,çухал,nonetype,исчезать ,,
,йăм,nonetype,исчезать ,,
,пăчлан,nonetype,исчезать ,,
,сирĕл,nonetype,исчезать ,,
,-ç,nonetype,от ,,
,çывăх,nonetype,близко ,,
,çывăхра,nonetype,близко ,,
,çывахран,nonetype,близко ,,
,юнашар,nonetype,близко ,,
,йăвала,nonetype,мять ,,
,лутăрка,nonetype,мять ,,
,нимĕр,nonetype,мять ,,
,тÿ,nonetype,мять ,,
,тĕшĕр,nonetype,мять ,,
,чăлха,nonetype,чулочный ,,
,алăк айĕ,nonetype,порог ,,
,кĕрленкĕ,nonetype,порог ,,
,шарлак,nonetype,порог ,,
,Франци,nonetype,франций ,,
,франци,nonetype,франций ,,
,Назым Хикмет Ран,nonetype,Назым Хикмет ,,
,Маркис де Сад,nonetype,Маркиз де Сад ,,
,Висмут,nonetype,висмут ,,
,висмут,nonetype,висмут ,,
,-па,nonetype,с ,,
,-пе,nonetype,с ,,
,шутлама,nonetype,размышлять ,,
,шухǎшлама,nonetype,размышлять ,,
,шухăшла,nonetype,размышлять ,,
,кавир,noun,ковёр ,,
,кавир,noun,ковёр ,,
,Кавир,nonetype,ковёр ,,
,Берлин,nonetype,Берлин ,,
,берлин,nonetype,Берлин ,,
,Союз,nonetype,союз ,,
,пĕрлешÿ,nonetype,союз ,,
,союз,noun,союз ,,
,пама,nonetype,дать ,,
,Акаба,nonetype,Акаба ,,
,испан чĕлхи,proper,испанский ,,
,ешĕль,nonetype,зелёный ,,
,симĕс,nonetype,зелёный ,,
,ешĕл,nonetype,зелёный ,,
,симӗс,adjective,зелёный ,,
,ешĕл,nonetype,зелёный ,,
,симĕс,nonetype,зелёный ,,
,шыв,noun,вода ,,
,шу,noun,вода ,,
,шуу,nonetype,вода ,,
,''диал.'' шу,nonetype,вода ,,
,куç,nonetype,взгляд ,,
,нÿрет,nonetype,делать сырым ,,
,сăтăр,nonetype,урон ,,
,сăтăрла,nonetype,урон ,,
,сарăп,nonetype,урон ,,
,сиен,nonetype,урон ,,
,сиенле,nonetype,урон ,,
,сÿ,nonetype,сдирать ,,
,чĕр,nonetype,сдирать ,,
,шăйăр,nonetype,сдирать ,,
,аванлавса пыр,nonetype,улучшаться ,,
,аванлан,nonetype,улучшаться ,,
,лайăхлан,nonetype,улучшаться ,,
,майлаш,nonetype,улучшаться ,,
,самайлан,verb,улучшаться ,,
,тĕреклен,nonetype,улучшаться ,,
,юсан,verb,улучшаться ,,
,хуш,verb,прибавлять ,,
,чăрсăр,nonetype,лихой ,,
,шут,nonetype,счеты ,,
,Таллин,proper,Колывань ,,
,мăшкăл,nonetype,глумление ,,
,пăру,nonetype,телка ,,
,тына,noun,телка ,,
,сĕнк,nonetype,потупиться ,,
,тăнла,nonetype,вслушиваться ,,
,кустăрма,nonetype,колесо ,,
,Кустăрма,nonetype,колесо ,,
,кусатăран,nonetype,колесо ,,
,урапа,nonetype,колесо ,,
,авăк,nonetype,кривой ,,
,авăнчăк,nonetype,кривой ,,
,кукăр,nonetype,кривой ,,
,кукăр-макăр,nonetype,кривой ,,
,пăркаланчăк,nonetype,кривой ,,
,чалăш,nonetype,кривой ,,
,чалăш-тĕлĕш,nonetype,кривой ,,
,чапрас,adjective,кривой ,,
,чирлесе ирттер,nonetype,проболеть ,,
,лăрка,nonetype,брюзжать ,,
,мăкăртат,nonetype,брюзжать ,,
,перекетлĕ,nonetype,бережливый ,,
,евĕр,nonetype,подобие ,,
,нĕр,nonetype,подобие ,,
,сĕм,nonetype,подобие ,,
,çиллентер,nonetype,злить ,,
,вăрçтар,nonetype,злить ,,
,тарăхтар,nonetype,злить ,,
,шăртлантар,nonetype,злить ,,
,Матрас,nonetype,матрац ,,
,тÿшек,nonetype,матрац ,,
,хăлха,nonetype,уши ,,
,хӑлха,noun,уши ,,
,капăр,nonetype,красивый ,,
,ĕлккен,nonetype,красивый ,,
,илемлĕ,nonetype,красивый ,,
,кĕрнек,nonetype,красивый ,,
,кĕрнеклĕ,nonetype,красивый ,,
,нĕрлĕ,nonetype,красивый ,,
,сарă,nonetype,красивый ,,
,хитре,adjective,красивый ,,
,чечен,adjective,красивый ,,
,чипер,adjective,красивый ,,
,эреветлĕ,nonetype,красивый ,,
,шăршă-маршă,nonetype,запахи ,,
,малашнехи,nonetype,грядущее ,,
,мĕкĕр,nonetype,рыкать ,,
,йăшка,nonetype,ныть ,,
,йĕрмĕш,nonetype,ныть ,,
,макăраш,nonetype,ныть ,,
,нăйкăш,nonetype,ныть ,,
,сăрăлтат,nonetype,ныть ,,
,сур,nonetype,ныть ,,
,çиллес,nonetype,зло ,,
,сăтăр,nonetype,зло ,,
,сарăп,nonetype,зло ,,
,сиен,nonetype,зло ,,
,синкер,noun,зло ,,
,усал,adjective,зло ,,
,хаяр,nonetype,зло ,,
,çÿхе,nonetype,легко ,,
,çăмăл,nonetype,легко ,,
,çăмăллăн,nonetype,легко ,,
,ансат,adjective,легко ,,
,уççăн,nonetype,легко ,,
,йыш,noun,группа ,,
,ушкăн,nonetype,группа ,,
,васкат,nonetype,торопить ,,
,хăвăртлат,nonetype,торопить ,,
,хыпалантар,nonetype,торопить ,,
,вĕтелен,nonetype,торопить ,,
,хăвăртла,nonetype,торопить ,,
,хăвала,nonetype,торопить ,,
,шăйрăл,nonetype,обдираться ,,
,çĕрĕк,nonetype,прель ,,
,янкар,nonetype,прель ,,
,юханшыв,noun,река ,,
,шыв,noun,река ,,
,çирма,nonetype,река ,,
,юхан шыв,nonetype,река ,,
,çырма,nonetype,река ,,
,Юхан шыв,nonetype,река ,,
,ăшă,nonetype,тёплый ,,
,ăшă,nonetype,тёплый ,,
,инди,nonetype,индия ,,
,Инди,nonetype,индия ,,
,Павлова Анна Павловна,nonetype,Анна Павловна Павлова ,,
,Роди,nonetype,родий ,,
,роди,nonetype,родий ,,
,япони,nonetype,япония ,,
,Япони,proper,япония ,,
,транслитераци,nonetype,транслитерация ,,
,Транслитераци,nonetype,транслитерация ,,
,ньюфаундленд,nonetype,ньюфаундленд ,,
,Пушту,nonetype,Пушту ,,
,Пушту,nonetype,Пушту ,,
,циркони,nonetype,цирконий ,,
,Маркомансем,nonetype,Маркоманы ,,
,аффикс,nonetype,аффикс ,,
,çума,nonetype,умывать ,,
,юра,nonetype,юра ,,
,Юра,nonetype,юра ,,
,Пĕтĕм тĕнчери чăтăмлăх кунĕ,nonetype,Международный день ,,
,шампанское,nonetype,шампанское ,,
,лима,nonetype,лима ,,
,Лима,nonetype,лима ,,
,сивлек вăрçă,nonetype,холодная война ,,
,кĕреш,nonetype,бороться ,,
,çапǎç,nonetype,бороться ,,
,вăрçма,nonetype,бороться ,,
,çыравçă,nonetype,писатель ,,
,Çыравçă,nonetype,писатель ,,
,мотоцикл,nonetype,мотоцикл ,,
,Мотоцикл,nonetype,мотоцикл ,,
,кĕтсе ил,nonetype,встретить ,,
,мухтавлă,nonetype,прославленный ,,
,чаплă,nonetype,прославленный ,,
,аван,adjective,хороший ,,
,лайăх,nonetype,хороший ,,
,лайӑх,adjective,хороший ,,
,паха,nonetype,хороший ,,
,путлĕ,nonetype,хороший ,,
,чипер,adjective,хороший ,,
,ырă,nonetype,хороший ,,
,юрăхлă,nonetype,хороший ,,
,пушăлла,nonetype,без груза ,,
,лат,nonetype,прок ,,
,сип,noun,прок ,,
,сиплĕх,nonetype,прок ,,
,хăпар,nonetype,подниматься ,,
,çĕклен,nonetype,подниматься ,,
,йÿçсе хăпар,nonetype,подниматься ,,
,йăсăрлан,nonetype,подниматься ,,
,йăтăн,nonetype,подниматься ,,
,парлат,nonetype,подниматься ,,
,тăр,nonetype,подниматься ,,
,тапран,nonetype,подниматься ,,
,улăх,nonetype,подниматься ,,
,сакай,nonetype,подпол ,,
,тĕпеакай,nonetype,подпол ,,
,савăк,nonetype,весело ,,
,савăнăçлă,nonetype,весело ,,
,хаваслă,nonetype,весело ,,
,алхапăл,nonetype,сразу ,,
,кашăл,nonetype,сразу ,,
,тÿрех,nonetype,сразу ,,
,харăс,nonetype,сразу ,,
,чавса,nonetype,локтевой ,,
,чее,nonetype,хитрый ,,
,шал,nonetype,внутренний ,,
,шалти,nonetype,внутренний ,,
,мăкăрăлчăк,nonetype,вьшуклость ,,
,пархатар,nonetype,благо ,,
,сăвап,nonetype,благо ,,
,пин,nonetype,тысяча ,,
,сехĕрлентер,nonetype,пугать ,,
,хăрат,nonetype,пугать ,,
,шиклентер,nonetype,пугать ,,
,шуйхат,nonetype,пугать ,,
,суха ту,nonetype,пахать ,,
,сухала,nonetype,пахать ,,
,тăрăхла,nonetype,продолговатый ,,
,тиев,noun,груз ,,
,çăк,nonetype,груз ,,
,çĕклем,nonetype,груз ,,
,груз,noun,груз ,,
,пусарлăк,nonetype,груз ,,
,туртăм,nonetype,груз ,,
,халал,noun,завещание ,,
,хастарлăх,nonetype,решительность ,,
,чăм,nonetype,нырять ,,
,чĕрĕп,nonetype,ежовый ,,
,шăнăр,nonetype,жила ,,
,ман,nonetype,разучиться ,,
,паттăрлан,nonetype,мужественным ,,
,пăхăн,nonetype,подчиняться ,,
,сĕмсĕр,nonetype,нагло ,,
,сĕмсĕррĕн,nonetype,нагло ,,
,су,nonetype,почитать ,,
,хисепле,verb,почитать ,,
,чысла,nonetype,почитать ,,
,çунма,nonetype,гореть ,,
,çун,nonetype,гореть ,,
,йăлкăш,nonetype,гореть ,,
,йăмăх,nonetype,гореть ,,
,пĕçер,nonetype,гореть ,,
,уна,nonetype,раскатывать ,,
,вăй,nonetype,сила ,,
,вăй-хал,nonetype,сила ,,
,хавал,noun,сила ,,
,хал,noun,сила ,,
,хевте,noun,сила ,,
,хăшĕ-пĕри,nonetype,некоторые ,,
,чарлан,noun,цапля ,,
,чун,nonetype,душевный ,,
,чав,verb,царапать ,,
,чǎрмала,nonetype,царапать ,,
,шăйăрма,nonetype,царапать ,,
,чăрмала,nonetype,царапать ,,
,чĕр,nonetype,царапать ,,
,чĕркеле,nonetype,царапать ,,
,шăйăр,nonetype,царапать ,,
,канлĕ,nonetype,удобно ,,
,майлă,nonetype,удобно ,,
,меллĕ,nonetype,удобно ,,
,хăтлă,nonetype,удобно ,,
,хашка,nonetype,пыхтеть ,,
,мăшлат,nonetype,пыхтеть ,,
,хашăлтат,nonetype,пыхтеть ,,
,пăт,nonetype,пуд ,,
,пусăм,nonetype,давление ,,
,сисĕм,nonetype,чувство ,,
,туйăм,nonetype,чувство ,,
,сывă пулăр,nonetype,будьте здоровы ,,
,сăнав,nonetype,эксперимент ,,
,тĕпчев,nonetype,эксперимент ,,
,ÿпĕн,nonetype,опрокидываться ,,
,йăван,nonetype,опрокидываться ,,
,тÿн,nonetype,опрокидываться ,,
,тăрăшу,nonetype,старание ,,
,тимлĕх,nonetype,старание ,,
,хастарлăх,nonetype,старание ,,
,хушăран,nonetype,кое-когда ,,
,Илем,nonetype,красота ,,
,илем,nonetype,красота ,,
,илемлĕх,nonetype,красота ,,
,кĕрнек,nonetype,красота ,,
,нĕр,nonetype,красота ,,
,хитре,nonetype,красота ,,
,чечен,nonetype,красота ,,
,çуклăх,nonetype,бедность ,,
,мĕскĕнлĕх,nonetype,бедность ,,
,нишлĕх,nonetype,бедность ,,
,терт,nonetype,бедность ,,
,чухăнлăх,nonetype,бедность ,,
,чуп,verb,бегать ,,
,вĕркĕш,nonetype,бегать ,,
,чупса ҫӳре,nonetype,бегать ,,
,вальпурги каçĕ,nonetype,вальпургиева ночь ,,
,европа пĕрлешĕвĕ,nonetype,европейский союз ,,
,Европа Пĕрлешĕвĕ,proper,европейский союз ,,
,Европа Пӗрлешӗвӗ,nonetype,европейский союз ,,
,Европа Пĕрлешĕвĕ,proper,европейский союз ,,
,Хула,nonetype,Город ,,
,хула,noun,Город ,,
,Япон чĕлхи,nonetype,Японский язык ,,
,япон чĕлхи,nonetype,Японский язык ,,
,лоуренси,nonetype,лоуренсий ,,
,Лоуренси,nonetype,лоуренсий ,,
,марганец,nonetype,марганец ,,
,Марганец,nonetype,марганец ,,
,Исланди,nonetype,Исландия ,,
,исланди,nonetype,Исландия ,,
,портвейн,nonetype,портвейн ,,
,геометри,noun,геометрия ,,
,Геометри,nonetype,геометрия ,,
,Геометри,nonetype,геометрия ,,
,чǎрмала,nonetype,скрябать ,,
,чав,nonetype,скрябать ,,
,шăйăрма,nonetype,скрябать ,,
,те,verb,сказать ,,
,калама,nonetype,сказать ,,
,теме,nonetype,сказать ,,
,кала,verb,сказать ,,
,хĕвел,nonetype,солнце ,,
,хӗвел,noun,солнце ,,
,Хĕвел,nonetype,солнце ,,
,Хӗвел,nonetype,солнце ,,
,университет,noun,университет ,,
,Университет,nonetype,университет ,,
,çарттан,nonetype,щука ,,
,çăрттан,nonetype,щука ,,
,çӑрттан,nonetype,щука ,,
,касма,nonetype,рубить ,,
,çур,nonetype,рубить ,,
,кас,nonetype,рубить ,,
,качлаттар,nonetype,рубить ,,
,пура,nonetype,рубить ,,
,Клайпеда,nonetype,Клайпеда ,,
,пушхир,nonetype,пустыня ,,
,пуш хир,nonetype,пустыня ,,
,Пушхир,nonetype,пустыня ,,
,ут,nonetype,лощадь ,,
,лаша,noun,лощадь ,,
,Эрби,nonetype,эрбий ,,
,эрби,nonetype,эрбий ,,
,Логика,nonetype,логика ,,
,логика,nonetype,логика ,,
,инвариант,nonetype,инвариант ,,
,ҫӗлен,noun,змеи ,,
,Çырав,nonetype,перепись населения ,,
,çырав,nonetype,перепись населения ,,
,геополитика,nonetype,геополитика ,,
,Геополитика,nonetype,геополитика ,,
,Штаб-хваттер,nonetype,штаб-квартира ,,
,штаб-хваттер,nonetype,штаб-квартира ,,
,лозанна,nonetype,лозанна ,,
,Акăлчан чĕлхи,proper,Английский язык ,,
,акăлчан чĕлхи,nonetype,Английский язык ,,
,Акăлчан чĕлхи,proper,Английский язык ,,
,акӑлчан чӗлхи,nonetype,Английский язык ,,
,кăшт,nonetype,чуть-чуть ,,
,йĕркеллĕ,nonetype,обычный ,,
,кулленхи,adjective,обычный ,,
,качака путекки,nonetype,козленок ,,
,пăран,nonetype,козленок ,,
,путек,nonetype,козленок ,,
,пĕркенчĕк,nonetype,покров ,,
,сĕвек,nonetype,пологий склон ,,
,сирпĕнтер,nonetype,взрывать ,,
,сирпĕт,nonetype,взрывать ,,
,сур,nonetype,сплевывать ,,
,çи,nonetype,верхняя часть ,,
,тăрă,nonetype,верхняя часть ,,
,çу,nonetype,летний ,,
,çуллахи,nonetype,летний ,,
,тĕк,nonetype,перьевой ,,
,тĕп,nonetype,дно ,,
,хуйхат,nonetype,напугать ,,
,хупăрла,nonetype,окружать ,,
,чĕпĕ,nonetype,птенец ,,
,танлаш,nonetype,равняться ,,
,шайлаш,nonetype,равняться ,,
,çуйăх,nonetype,кричать ,,
,çухăр,nonetype,кричать ,,
,ÿхлет,nonetype,кричать ,,
,авăт,nonetype,кричать ,,
,ахăр,nonetype,кричать ,,
,кăрăклат,nonetype,кричать ,,
,кăрăлтат,nonetype,кричать ,,
,кăшкăр,nonetype,кричать ,,
,кăшкăраш,nonetype,кричать ,,
,шуйăх,nonetype,кричать ,,
,кукша,adjective,лысина ,,
,макăраш,nonetype,плакаться ,,
,пăс,nonetype,паровой ,,
,пичетле,verb,опубликовать ,,
,вылян,nonetype,качаться ,,
,кисрен,nonetype,качаться ,,
,лăкан,nonetype,качаться ,,
,силлен,nonetype,качаться ,,
,сулкалан,nonetype,качаться ,,
,суллан,nonetype,качаться ,,
,тайăл,nonetype,качаться ,,
,тайкалан,nonetype,качаться ,,
,чÿхен,nonetype,качаться ,,
,çăвĕпе,nonetype,все лето ,,
,çирĕп,adjective,крепко ,,
,йĕкер,nonetype,крепко ,,
,парка,adjective,крепко ,,
,патвар,adjective,крепко ,,
,тĕреклĕ,nonetype,крепко ,,
,хаяр,nonetype,крепко ,,
,çырăн,nonetype,выписывать ,,
,тĕк,nonetype,бодаться ,,
,савăк,nonetype,радостный ,,
,савăнăçлă,nonetype,радостный ,,
,хавас,noun,радостный ,,
,хаваслă,nonetype,радостный ,,
,хумхат,nonetype,рябить ,,
,пиçĕ,nonetype,выносливый ,,
,чăтăмлă,nonetype,выносливый ,,
,чикĕсĕр,nonetype,беспредельный ,,
,шăнаç,nonetype,помещаться ,,
,ÿпкев,nonetype,обида ,,
,хур,nonetype,обида ,,
,эрлĕк,nonetype,обида ,,
,хытӑ,adjective,твёрдый ,,
,хытă,nonetype,твёрдый ,,
,татăклă,nonetype,твёрдый ,,
,кĕç,nonetype,скоро ,,
,кĕç-вĕç,nonetype,скоро ,,
,хăвăрттăн,nonetype,скоро ,,
,час,adjective,скоро ,,
,малтанхи,nonetype,начальный ,,
,пуçламăш,nonetype,начальный ,,
,пăчкă,nonetype,пила ,,
,пула,nonetype,благодаря ,,
,сивĕ,nonetype,холод ,,
,сул,nonetype,махать ,,
,сулла,nonetype,махать ,,
,çав,nonetype,то-то ,,
,çит,nonetype,догонять ,,
,çутă,nonetype,сияние ,,
,тĕлле,nonetype,прицеливаться ,,
,ушкăн,nonetype,толпа ,,
,эшкер,nonetype,толпа ,,
,ÿтлен,nonetype,закрываться ,,
,хупăн,nonetype,закрываться ,,
,чăкăлтăш,nonetype,привередливый ,,
,шав,adjective,сплошь ,,
,шăл,nonetype,протирать ,,
,янах,noun,подбородок ,,
,алтăк,nonetype,рытвина ,,
,варак,nonetype,рытвина ,,
,лакăм,nonetype,рытвина ,,
,ланкашка,noun,рытвина ,,
,лупашка,nonetype,рытвина ,,
,сакăлта,nonetype,рытвина ,,
,епле,nonetype,каким образом ,,
,мĕнле,nonetype,каким образом ,,
,пĕçер,nonetype,готовить ,,
,хатĕрле,nonetype,готовить ,,
,янтăла,nonetype,готовить ,,
,сĕвеклен,nonetype,покатым ,,
,сĕвеклет,nonetype,покатым ,,
,пăс,nonetype,портить ,,
,сая яр,nonetype,портить ,,
,сиенле,nonetype,портить ,,
,япăхлат,nonetype,портить ,,
,сурăх,nonetype,овца ,,
,Сурăх,nonetype,овца ,,
,сурӑх,nonetype,овца ,,
,çĕрт,nonetype,гноить ,,
,çулам,nonetype,огненный ,,
,вут,nonetype,огненный ,,
,вут-кăвар,nonetype,огненный ,,
,кăварлă,nonetype,огненный ,,
,телейлĕ,nonetype,удачливый ,,
,тиверт,nonetype,разжигать ,,
,чĕрт,nonetype,разжигать ,,
,халсăрлат,nonetype,делать больным ,,
,чирлеттер,nonetype,делать больным ,,
,вит,verb,покрывать ,,
,хупла,verb,покрывать ,,
,чеелен,nonetype,плутовать ,,
,шак,nonetype,верша ,,
,шăтар,nonetype,дырявить ,,
,Пётр Ильич Чайковский,nonetype,Пётр Ильич Чайковский ,,
,Пётр Чайковский,nonetype,Пётр Ильич Чайковский ,,
,Чайковский Пётр Ильич,nonetype,Пётр Ильич Чайковский ,,
,сарлака,adjective,широкий ,,
,шалпар,adjective,широкий ,,
,анлǎ,nonetype,широкий ,,
,анлă,nonetype,широкий ,,
,аслă,nonetype,широкий ,,
,лаптак,verb,широкий ,,
,Хезболла,proper,Хезболла ,,
,хезболла,nonetype,Хезболла ,,
